transform,cluster,model,MAE,RMSE,MAPE,sMAPE,MASE
none,0,naive,313.82193974080735,372.9024579377008,13.592498787714101,10.343276940698198,1.2495835123624237
none,0,seasonal_naive,325.8201155549115,382.85521617116035,15.210739296818188,11.31199563208607,1.255919203844615
none,0,mean,804.6016213228902,846.1088649784757,31.58862633580569,24.485567341274397,4.123264058953254
none,0,median,822.5108538690465,865.8058036364837,31.888085960877508,25.00994416698909,4.1952177175756304
none,0,AutoTheta,252.92911605773207,302.62543755635454,11.402073768864623,8.671559928924111,0.9735798579016908
none,0,AutoETS,248.98339908023246,297.9105858727421,11.37581388879419,8.656270024528968,0.9089395152445622
none,0,catboost,348.1116418664119,407.80059103281826,16.180636503714027,11.460720130153856,1.466441219232869
none,1,naive,1279.3765900795374,1646.4340160602849,13.930142351902361,15.704025103430746,1.429396989726058
none,1,seasonal_naive,1218.564496437646,1521.2730679616843,17.184057639572195,15.937915766493962,1.4610601856316903
none,1,mean,3639.868828193449,3896.976573895538,45.802271632150436,57.70976035164549,6.011269415245332
none,1,median,4108.324227824485,4360.645571115399,50.94764156036914,70.19052031911475,6.7203544052987425
none,1,AutoTheta,1088.8138637309073,1378.3826009111897,13.36424421536259,13.520795545975187,1.1617429390275444
none,1,AutoETS,1002.8009741186983,1267.6515941717912,13.36914077975214,12.713441123553796,1.0673129864588677
none,1,catboost,1470.352541147086,1823.6381698577745,18.426672800074083,18.619795998391332,1.9557049901044514
none,2,naive,1073.7001414166084,1306.8581045208878,31.02059946043235,25.063153137064198,0.6927653368495095
none,2,seasonal_naive,1480.444894187661,1791.982670477238,42.237412128061656,32.680521105373465,0.9328660189201922
none,2,mean,2693.804779033277,2800.7337844840977,85.76184084090069,54.49072288964472,1.9228866327174845
none,2,median,2576.88297923655,2685.293145865499,77.57418429034537,50.47262025134586,1.9100894981218461
none,2,AutoTheta,1132.6416580014318,1395.5500866274226,30.443074271342503,31.222533691742875,0.7083927801680773
none,2,AutoETS,1145.601878359519,1403.2465567453928,32.25317059173321,28.68269675262886,0.7105008406864877
none,2,catboost,1261.8419167526324,1517.2085467157426,34.53483638318833,28.534373233779423,0.8145017149172302
none,3,naive,1902.8407407407406,2188.7300828218354,47.354034626716384,58.246652089331015,0.9675400341278602
none,3,seasonal_naive,1328.6777777777777,1757.6365056152554,61.78711717029029,42.06669545102712,1.2476746246793669
none,3,mean,1199.1785548185,1455.513164751277,36.91667960150601,31.871768232704216,0.6612870627020703
none,3,median,1178.4662962962964,1432.3237581992469,38.051555155542964,37.9572644907035,0.7708100270442141
none,3,AutoTheta,1097.8109729004652,1294.4165168623247,37.24241736833,30.04483008647405,0.6253739362973583
none,3,AutoETS,2137.152732444167,3406.2357935985438,58.43100046689549,39.556640785883666,0.9814124181199905
none,3,catboost,1088.2292494702167,1265.4626023900316,37.09435849927353,28.99470079855261,0.5921410803807307
log1p,0,naive,313.82193974080735,372.9024579377008,13.592498787714101,10.343276940698198,1.2495835123624237
log1p,0,seasonal_naive,325.8201155549115,382.85521617116035,15.210739296818188,11.31199563208607,1.255919203844615
log1p,0,mean,804.6016213228902,846.1088649784757,31.58862633580569,24.485567341274397,4.123264058953254
log1p,0,median,822.5108538690465,865.8058036364837,31.888085960877508,25.00994416698909,4.1952177175756304
log1p,0,AutoTheta,252.92911605773207,302.62543755635454,11.402073768864623,8.671559928924111,0.9735798579016908
log1p,0,AutoETS,248.98339908023246,297.9105858727421,11.37581388879419,8.656270024528968,0.9089395152445622
log1p,0,catboost,346.0910423266477,407.522202182453,15.705810165151433,11.336538232311455,1.4802847497841394
log1p,1,naive,1279.3765900795374,1646.4340160602849,13.930142351902361,15.704025103430746,1.429396989726058
log1p,1,seasonal_naive,1218.564496437646,1521.2730679616843,17.184057639572195,15.937915766493962,1.4610601856316903
log1p,1,mean,3639.868828193449,3896.976573895538,45.802271632150436,57.70976035164549,6.011269415245332
log1p,1,median,4108.324227824485,4360.645571115399,50.94764156036914,70.19052031911475,6.7203544052987425
log1p,1,AutoTheta,1088.8138637309073,1378.3826009111897,13.36424421536259,13.520795545975187,1.1617429390275444
log1p,1,AutoETS,1002.8009741186983,1267.6515941717912,13.36914077975214,12.713441123553796,1.0673129864588677
log1p,1,catboost,1324.3390456903358,1671.815216788201,15.725635704084302,16.352585208023946,1.7018020639061142
log1p,2,naive,1073.7001414166084,1306.8581045208878,31.02059946043235,25.063153137064198,0.6927653368495095
log1p,2,seasonal_naive,1480.444894187661,1791.982670477238,42.237412128061656,32.680521105373465,0.9328660189201922
log1p,2,mean,2693.804779033277,2800.7337844840977,85.76184084090069,54.49072288964472,1.9228866327174845
log1p,2,median,2576.88297923655,2685.293145865499,77.57418429034537,50.47262025134586,1.9100894981218461
log1p,2,AutoTheta,1132.6416580014318,1395.5500866274226,30.443074271342503,31.222533691742875,0.7083927801680773
log1p,2,AutoETS,1145.601878359519,1403.2465567453928,32.25317059173321,28.68269675262886,0.7105008406864877
log1p,2,catboost,1233.5990242441262,1490.0130118263007,32.600267922937356,28.044205353763495,0.807082047909898
